tour,player_name,ras_slow,ras_medium,ras_fast,n_slow,n_medium,n_fast,body_return_pts
ATP,Novak Djokovic,0.9681238615664846,0.9409722222222222,0.9134396355353075,1098,1440,1317,3855
ATP,Nuno Borges,0.9642857142857143,0.9883720930232558,0.968,168,86,125,379
ATP,Oscar Otte,0.898989898989899,0.9158878504672897,0.9065420560747663,99,107,107,313
ATP,Otto Virtanen,0.9883720930232558,0.9767441860465116,0.9347826086956522,86,86,92,264
ATP,Pablo Andujar,0.890625,0.8142857142857143,0.8928571428571429,128,70,84,282
ATP,Pablo Carreno Busta,0.9629629629629629,0.9299065420560748,0.8604651162790697,270,214,258,742
ATP,Paolo Lorenzi,0.960352422907489,0.934640522875817,0.8775510204081632,227,153,98,478
ATP,Pavel Kotov,1.0,0.9230769230769231,0.8666666666666667,79,52,30,161
ATP,Pedro Cachin,0.9733333333333334,0.8928571428571429,0.9651162790697675,150,56,86,292
ATP,Pedro Martinez,0.9470899470899471,0.8723404255319149,0.9166666666666666,189,94,96,379
ATP,Peter Gojowczyk,0.9823008849557522,0.9590163934426229,0.908256880733945,113,122,109,344
ATP,Philipp Kohlschreiber,0.9171270718232044,0.8461538461538461,0.8604651162790697,181,169,172,522
ATP,Pierre Hugues Herbert,0.9180327868852459,0.9354838709677419,0.8404255319148937,61,62,94,217
ATP,Quentin Halys,0.9625,0.963265306122449,0.9349112426035503,80,245,169,494
ATP,Radu Albot,0.9529411764705882,0.8979591836734694,0.8481012658227848,85,98,158,341
ATP,Rafael Nadal,0.952449567723343,0.928042328042328,0.9226638023630505,694,945,931,2570
ATP,Reilly Opelka,0.8707865168539326,0.8778625954198473,0.7910447761194029,178,131,134,443
ATP,Renzo Olivo,1.0,1.0,0.7,30,11,10,51
ATP,Ricardas Berankis,0.9411764705882353,0.9117647058823529,0.8301886792452831,68,68,53,189
ATP,Richard Gasquet,0.9711191335740073,0.9174917491749175,0.9015151515151515,277,303,264,844
ATP,Rinky Hijikata,1.0,0.9838709677419355,0.96875,99,124,128,351
ATP,Roberto Bautista Agut,0.9453551912568307,0.9129129129129129,0.906060606060606,366,333,330,1029
ATP,Roberto Carballes Baena,0.9553072625698324,0.96,0.9367088607594937,179,125,158,462
ATP,Robin Haase,0.9428571428571428,0.9137931034482759,0.8446601941747572,70,58,103,231
ATP,Roger Federer,0.8962962962962963,0.8748353096179183,0.8216957605985037,675,759,802,2236
ATP,Roman Safiullin,0.9696969696969697,0.9385964912280702,0.9659090909090909,66,114,88,268
ATP,Ryan Harrison,0.92,0.8701298701298701,0.7972972972972973,25,77,74,176
ATP,Ryan Peniston,1.0,0.9655172413793104,1.0,42,29,18,89
ATP,Salvatore Caruso,0.967741935483871,0.8717948717948718,0.75,31,39,16,86
ATP,Sam Querrey,0.9272727272727272,0.8920863309352518,0.8545918367346939,330,417,392,1139
