tour,player_name,ras_slow,ras_medium,ras_fast,n_slow,n_medium,n_fast,body_return_pts,cluster,PC1,PC2
WTA,Anna Karolina Schmiedlova,0.9918032786885246,0.968944099378882,0.968,122,161,125,408,1,1.4068065211183927,0.09775612004396428
WTA,Anna Lena Friedsam,0.92,0.9696969696969697,1.0,25,33,12,70,1,0.6699542884744998,-1.7384275588563514
WTA,Arantxa Rus,1.0,1.0,0.9047619047619048,68,56,63,187,3,1.357547196648614,0.9062150824165618
WTA,Arina Rodionova,0.9629629629629629,1.0,1.0,27,13,30,70,1,1.7244974450295296,-0.8994356826182032
WTA,Aryna Sabalenka,0.9522900763358778,0.9385796545105566,0.9375975039001561,524,521,641,1686,4,0.11143957727649055,-0.33798504685431385
WTA,Ashleigh Barty,0.9586776859504132,0.9393939393939394,0.9398280802292264,484,330,349,1163,4,0.23785585630263234,-0.23149820339364668
WTA,Ashlyn Krueger,0.9326923076923077,0.974025974025974,0.9444444444444444,104,77,54,235,1,0.38578890285853235,-0.8766914377372585
WTA,Barbora Krejcikova,0.9838056680161943,0.9304347826086956,0.950207468879668,247,230,241,718,4,0.5801779192862642,0.18996041010702056
WTA,Barbora Strycova,0.9684684684684685,0.9542857142857143,0.9333333333333333,222,175,120,517,3,0.5279357695082493,0.017398234301010975
WTA,Beatriz Haddad Maia,0.9711934156378601,0.9462809917355371,0.9135802469135802,243,242,162,647,3,0.26702490683205715,0.3025434177138784
WTA,Belinda Bencic,0.9863387978142076,0.9627906976744186,0.9526184538653366,366,430,401,1197,1,1.0934763266562535,0.16268845897040748
WTA,Bernarda Pera,0.9565217391304348,0.9818181818181818,0.9859154929577465,92,110,142,344,1,1.240795185464546,-0.8490247672160833
WTA,Bianca Andreescu,0.9427609427609428,0.9423868312757202,0.9481481481481482,297,243,270,810,4,0.1258136706970365,-0.65657493494418
WTA,Camila Giorgi,0.9285714285714286,0.9295774647887324,0.9026548672566371,126,142,226,494,6,-0.6964918264756532,-0.4326046646917992
WTA,Camila Osorio,1.0,1.0,1.0,59,34,42,135,1,2.2677660827375945,-0.13307153749212242
WTA,Carina Witthoeft,0.9672131147540983,0.9183673469387755,0.9354838709677419,61,49,31,141,4,0.027088778377557556,0.02720898763230176
WTA,Carla Suarez Navarro,0.9310344827586207,0.9367088607594937,0.8666666666666667,58,79,60,197,6,-0.9044478707141056,-0.0006825555084794619
WTA,Carla Suárez Navarro,0.925,0.9607843137254902,0.875,40,51,40,131,6,-0.5761760089601331,-0.25620161295532856
WTA,Caroline Dolehide,0.9541284403669725,0.8888888888888888,0.9710144927536232,109,72,69,250,4,-0.2380683436975979,-0.5826348980736016
WTA,Caroline Garcia,0.9333333333333333,0.9157894736842105,0.9322916666666666,375,380,384,1139,4,-0.5364767909796049,-0.6347381097299556
WTA,Caroline Wozniacki,0.9565217391304348,0.9757869249394673,0.9505494505494505,391,413,364,1168,1,0.8183320552006514,-0.45314280369702886
WTA,Catherine Bellis,0.9545454545454546,0.8571428571428571,1.0,44,42,26,112,4,-0.39948708774002945,-0.8379397005982693
WTA,Christina McHale,0.918918918918919,0.8813559322033898,0.8846153846153846,111,59,52,222,0,-1.6857610872834168,-0.3559262837421379
WTA,Claire Liu,0.9074074074074074,0.9375,0.9111111111111111,54,80,45,179,6,-0.8151681832271569,-0.9758755825862543
WTA,Clara Burel,1.0,0.968,1.0,109,125,119,353,1,1.8196508598623502,-0.08028153558596629
WTA,Clara Tauson,1.0,0.9210526315789473,0.9340659340659341,103,76,91,270,3,0.5320671213577672,0.7166730755279135
WTA,CoCo Vandeweghe,0.9360730593607306,0.8952380952380953,0.9166666666666666,219,210,192,621,4,-0.9334158797596475,-0.3736368448352887
WTA,Coco Gauff,0.9686684073107049,0.9441624365482234,0.9489194499017681,383,394,509,1286,3,0.5380673491573686,-0.13184806469795668
WTA,Coco Vandeweghe,0.9375,0.8367346938775511,0.9285714285714286,64,49,70,183,0,-1.6179660654882513,-0.37750932304170537
WTA,Cori Gauff,0.9848484848484849,0.875,0.9047619047619048,66,48,84,198,4,-0.6151491535883779,0.798913422538179
WTA,Cristina Bucsa,0.9878048780487805,1.0,0.9795918367346939,82,50,49,181,1,1.8938380417693559,-0.16270667543647938
WTA,Dalma Galfi,0.9767441860465116,0.98,1.0,43,50,43,136,1,1.6465719005773631,-0.581283179752035
WTA,Danielle Collins,0.954954954954955,0.9336283185840708,0.9695121951219512,222,226,328,776,4,0.3862103846217061,-0.6229450405402104
WTA,Danka Kovinic,0.9452054794520548,0.9705882352941176,0.9666666666666667,73,34,30,137,1,0.733578960983502,-0.8546000074114907
WTA,Daria Gavrilova,0.9491525423728814,0.991869918699187,0.9469026548672567,118,123,113,354,1,0.90060511986906,-0.5923612065445121
WTA,Daria Kasatkina,0.9724137931034482,0.9700996677740864,0.9732441471571907,290,301,299,890,1,1.188698633923593,-0.3625809891922084
